StorageUnit,carrier,bus,p_nom,p_nom_max,capital_cost,max_hours,efficiency_store,efficiency_dispatch,cyclic_state_of_charge,control,p_min_pu,p_max_pu,p_nom_extendable,build_year,lifetime,marginal_cost,p_nom_opt,type,p_nom_mod,p_nom_min,p_set,q_set,sign,spill_cost,marginal_cost_quadratic,marginal_cost_storage,state_of_charge_initial,state_of_charge_initial_per_period,state_of_charge_set,cyclic_state_of_charge_per_period,standing_loss,inflow
p101 4hr_battery_storage_2050,4hr_battery_storage,p101,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.009676754222437457,0.026532825746973406,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p102 4hr_battery_storage_2050,4hr_battery_storage,p102,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.010548272139600967,0.026316060211634032,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p103 4hr_battery_storage_2050,4hr_battery_storage,p103,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.009952053215270167,0.05357213360852664,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p104 4hr_battery_storage_2050,4hr_battery_storage,p104,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.010740741008886907,0.057004385345606486,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p105 4hr_battery_storage_2050,4hr_battery_storage,p105,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.01099156350027056,0.05378013180352731,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p106 4hr_battery_storage_2050,4hr_battery_storage,p106,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.009439671900002574,0.05437279062086719,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p107 4hr_battery_storage_2050,4hr_battery_storage,p107,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.010223342754350205,0.053820324599032125,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p108 4hr_battery_storage_2050,4hr_battery_storage,p108,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.010695004621056287,0.05287953342350279,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p109 4hr_battery_storage_2050,4hr_battery_storage,p109,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.010890473269890169,0.05295340406715993,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p11 4hr_battery_storage_2050,4hr_battery_storage,p11,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.009580172850096762,1746.007333384663,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p110 4hr_battery_storage_2050,4hr_battery_storage,p110,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.01045408548789276,0.05932144037441987,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p111 4hr_battery_storage_2050,4hr_battery_storage,p111,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.009030032296834191,0.05693071615670604,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p112 4hr_battery_storage_2050,4hr_battery_storage,p112,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.010758284876779068,0.05668722274512079,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p113 4hr_battery_storage_2050,4hr_battery_storage,p113,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.009127877098229216,0.056357834747164735,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p114 4hr_battery_storage_2050,4hr_battery_storage,p114,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.010466790797339639,0.05553093599248899,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p115 4hr_battery_storage_2050,4hr_battery_storage,p115,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.010989220773735318,0.05611951232153391,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p116 4hr_battery_storage_2050,4hr_battery_storage,p116,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.010002379561585359,0.05778994624024709,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
p117 4hr_battery_storage_2050,4hr_battery_storage,p117,0.0,inf,77451.10346,4.0,0.9219544457292888,0.9219544457292888,False,PQ,-1.0,1.0,True,2050,20.0,0.00941866798146674,0.05819998615750275,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,False,,True,0.0,0.0
