,,,,Optimal Capacity,Installed Capacity,Supply,Withdrawal,Energy Balance,Transmission,Capacity Factor,Curtailment,Capital Expenditure,Operational Expenditure,Revenue,Market Value
,,,,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050,2050
Generator,p109 nuclear_2050,p109,Nuclear,6078.825,,41024489.466,,41024489.466,0.0,0.77,10360547.026,2080800827.524,466378905.084,2547179682.601,62.089
Generator,p109 onwind,p109,Onshore Wind,0.002,,1.383,,1.383,0.0,0.096,0.507,171.958,-17.86,56.509,40.312
Generator,p109 solar,p109,Solar,24936.659,,34429607.113,,34429607.113,0.0,0.158,5110.519,1039454161.715,359940.265,1067891704.355,31.017
Generator,p109 solar existing,p109,Solar,164.7,164.7,227375.98,,227375.98,0.0,0.158,56.175,1534628.484,2210.287,7053109.895,31.02
Generator,p11 biomass,p11,Biomass,0.0,0.0,,,,0.0,,171252.192,0.0,,,
Generator,p11 hydro,p11,Reservoir & Dam,42.0,42.0,90196.801,,90196.801,0.0,0.245,43.989,7802074.533,887.753,5211641.739,57.781
Generator,p11 hydrogen_ct_2050,p11,Hydrogen Combustion Turbine,1099.252,,393487.979,,393487.979,0.0,0.041,9235963.311,105486048.401,79205283.351,184691254.575,469.369
Generator,p11 nuclear_2050,p11,Nuclear,3270.07,,21132928.753,,21132928.753,0.0,0.738,6509369.117,1119355365.06,240259462.928,1359614762.851,64.336
Generator,p11 onwind,p11,Onshore Wind,0.0,,0.235,,0.235,0.0,0.06,0.093,53.731,-3.038,6.716,25.667
Generator,p11 onwind existing,p11,Onshore Wind,0.0,0.0,,,,0.0,,124014.858,0.0,,,
Generator,p11 solar,p11,Solar,2802.812,,5211981.802,,5211981.802,0.0,0.212,50.773,120680364.428,50705.721,120731024.908,23.164
Generator,p11 solar existing,p11,Solar,0.0,0.0,,,,0.0,,199532.126,0.0,,,
Generator,p110 biomass,p110,Biomass,0.0,0.0,,,,0.0,,21024.0,0.0,,,
Generator,p110 hydrogen_ct_2050,p110,Hydrogen Combustion Turbine,86.215,,40947.585,,40947.585,0.0,0.054,714297.175,8273346.307,8242311.722,16515569.863,403.335
Generator,p110 nuclear_2050,p110,Nuclear,863.32,,6048839.514,,6048839.514,0.0,0.8,1248908.201,295517149.01,68766558.426,364283627.071,60.224
Generator,p110 onwind,p110,Onshore Wind,0.001,,1.131,,1.131,0.0,0.088,0.447,151.623,-14.599,46.791,41.077
Generator,p110 solar,p110,Solar,853.412,,1175749.975,,1175749.975,0.0,0.157,9.672,35573451.118,10769.885,36858188.59,31.349
Generator,p110 solar existing,p110,Solar,111.0,111.0,152916.703,,152916.703,0.0,0.157,9.749,1034266.92,1661.56,4793973.255,31.35
Generator,p111 biomass,p111,Biomass,0.0,0.0,,,,0.0,,178704.0,0.0,,,
Generator,p111 hydrogen_ct_2050,p111,Hydrogen Combustion Turbine,856.86,,286380.398,,286380.398,0.0,0.038,7219714.671,82225693.231,57645246.475,139870860.171,488.409
Generator,p111 nuclear,p111,Nuclear,7844.505,,17092273.755,,17092273.755,0.0,0.249,49424924.74,2584215011.442,227418197.12,2811633152.791,164.497
Generator,p111 nuclear existing,p111,Nuclear,0.0,0.0,,,,0.0,,,0.0,,,
Generator,p111 nuclear_2050,p111,Nuclear,0.052,,345.967,,345.967,0.0,0.76,93.39,17791.422,3933.529,21541.443,62.271
Generator,p111 onwind,p111,Onshore Wind,22955.432,,59645604.374,,59645604.374,0.0,0.297,605.828,2335355512.447,-770070545.339,1565284915.876,26.243
Generator,p111 onwind existing,p111,Onshore Wind,0.0,0.0,,,,0.0,,39494.896,0.0,,,
